 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
649246,200503,,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,External Power,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,,,,Time Pressure,,,649246,Company,,Air Carrier,Lead Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Maintenance,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Aircraft; Environment - Non Weather Related; Human Factors; Logbook Entry; Chart Or Publication,Human Factors,"I WAS CALLED OUT BECAUSE EXTERNAL PWR COULDN'T BE HOOKED UP. FOUND THAT 2 PINS ON RECEPTACLE WERE BENT. PLACARDED EXTERNAL PWR PER MEL 24-3; BUT DID NOT READ MEL CORRECTLY; AND DID NOT ACCOMPLISH MPM 24-3 SECTION II; C. NOTIFIED AVIONICS FOR FOLLOW-UP. THIS TASK IS USUALLY HANDLED BY OUR AVIONICS CREW; SO I WAS NOT FAMILIAR WITH THE COMPLIANCE REQUIREMENTS FOR THIS MEL.",,,,"AN MD80 WAS FOUND TO HAVE A DAMAGED GND PWR RECEPTACLE. ITEM DEFERRED PER MEL BUT REQUIRED SPECIAL MEL PROCS NOT ACCOMPLISHED.",
649349,200503,1201-1800,ZZZ.Airport,US,,,,,,,,,,,,,Air Carrier,B767-400 and 400 ER,,2,Part 121,IFR,Passenger,,Parked,,,Y,,Y,,,Repair,,,,,,,,,,,,,,,,,,Cargo Door,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Time Pressure,,,649349,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural MEL / CDL,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Logbook Entry; Manuals; Aircraft; Chart Or Publication; Environment - Non Weather Related; Human Factors,Human Factors,"THE FORWARD CARGO DOOR DRIVE HARNESS WAS DAMAGED. DUE TO LONG REPAIR TIME INVOLVED; I ADVISED ACR MAINT TO DISCONNECT HARNESS AND INOP ELECTRICAL DRIVE PER MEL 52-30-01E AND DISPATCH. WHEN ACFT ARRIVED ZZZ1; THEIR MAINT AND NEXT SHIFT COORDINATOR DISCOVERED THAT INDICATION FOR THE DOOR WAS NOT WORKING PER MEL PROC IN THE MAINT PROCS. (THIS WAS DUE TO HARNESS DISCONNECT BUT DOOR WAS CORRECTLY LOCKED.) THE ACFT THEN COULD NOT CONTINUE ITS FLT DAY UNTIL HARNESS WAS REPAIRED. THESE HARNESSES ARE DAMAGED QUITE OFTEN DUE TO CONTAINER LOADING. MY FOLLOW-UP WILL BE NOT TO ALLOW DISCONNECTING WHEN DAMAGED. ALSO; BOEING SHOULD CONSIDER AN AIRWORTHINESS DIRECTIVE TO REROUTE; OR BETTER -- TO PROTECT TO AVOID SHORTING OR FIRE.",,,,"A B767-400 FORWARD CARGO DOOR DRIVE HARNESS WAS DAMAGED. HARNESS DISCONNECTED AND DEFERRED PER MEL. FOUND WITH HARNESS DISCONNECTED DOOR WARNING INOP IN CONFLICT WITH MEL.",
650267,200501,0001-0600,ZZZ.Airport,US,,0,0,,,,,,Night,,,,Air Carrier,B737-300,,2,Part 121,,,,Parked,,,,,,,,Testing,,,,,,,,,,,,,,,,,,AC Generator/Alternator,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Troubleshooting,,,650267,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Automation Aircraft Other Automation; Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Logbook Entry; Aircraft; Human Factors; Chart Or Publication; Environment - Non Weather Related,Human Factors,"ON JAN/WED/05 I CHANGED THE #2 ENG CSD BECAUSE IT HAD DROPPED OFF LINE. I REMOVED THE #2 GENERATOR AND CSD. I THEN INSTALLED THE CSD AND THE GENERATOR. I PERFORMED A LEAK CHK AND OPS CHK OF BOTH COMPONENTS. EVERYTHING WAS DONE PER THE MAINT MANUAL. NO PROBS WERE NOTED. ON MAR/TUE/05 SHIFT MGR NOTIFIED ME THAT ON MAR/SAT/05 MECHS FOUND THE #2 ENG GENERATOR WITH A BROKEN SHAFT AND ONLY 1 MOUNT NUT HOLDING THE GENERATOR ON. TO THE BEST OF MY KNOWLEDGE; ALL THE NUTS WERE INSTALLED ON JAN/WED/05 WHEN I REINSTALLED THE GENERATOR.",,,,"A B737-300 #2 ENG CONSTANT SPEED DRIVE WAS REPLACED. 3 DAYS LATER; GENERATOR FAILED WITH A SHEARED DRIVE SHAFT AND ONLY 1 MOUNT NUT PRESENT.",
651451,200503,,ZZZ.Airport,US,,0,0,,,,,,,,,Tower ZZZ.Tower,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,,,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Wingtip,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Technician,,,,Time Pressure,,,651451,Aircraft X,,Air Carrier,Technician,,,,,,,651450,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Other / Unknown,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Environment - Non Weather Related; Aircraft; Human Factors,Human Factors,"TAXIING ACFT TO BLAST FENCE; R-HAND TURN TO POS ON BLAST FENCE FOR RUN-UP TESTS; STRUCK L-HAND WINGTIP AGAINST FENCE; DAMAGED WINGTIP. I WAS TAXIING ACFT X TO BLAST FENCE AND PARKED ON BLAST FENCE TO PERFORM MAINT ON ACFT. PULLED CHOCKS AND GAVE CLRNC TO START. AFTER 2 SUCCESSFUL STARTS; ACFT WAS TAXIED TO FENCE. UPON R-HAND TURN; L-HAND WINGTIP STRUCK PART OF FENCE; DAMAGING L-HAND WINGTIP AREA. I HAD THE L WINDOW OPEN; AND WAS LOOKING OUT THE WINDOW TO OBSERVE. TURN WAS INITIATED TOO LATE AND STRUCK THE BOTTOM OF THE L-HAND WINGTIP. UPON CONTACT; ACFT WAS STOPPED; AND OFFICIALS WERE NOTIFIED.",,,,"AN MD80 WHEN TAXIING TO THE ENG RUNUP AREA AND MAKING A R TURN ONTO THE PAD; THE L WINGTIP STRUCK THE BLAST FENCE INCURRING DAMAGE.",
652663,200503,1801-2400,ZZZ.Airport,US,,0,0,,,VMC,,,Night,,,,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Parked; Taxi,,,,,,,,Repair,,,,,,,,,,,,,,,,,,Engine Air Starter,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,First Officer; Pilot Not Flying,,,,Time Pressure; Troubleshooting,,,652663,Aircraft X,,Air Carrier,Captain; Pilot Flying,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Automation Aircraft Other Automation; Person Flight Crew,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Human Factors; Aircraft; Chart Or Publication,Human Factors,"MAINT SIGNED OFF OUR STUCK ENG #2 START VALVE. AFTER PUSHBACK; WE STARTED ENG #2 AND I OBSERVED ZERO DUCT PRESSURE; INDICATING THE VALVE WAS OPEN. AFTER WE RETURNED TO THE GATE; MAINT PERSONNEL SHOWED ME SEVERAL JAGGED POTATO CHIP SIZED PIECES OF METAL THAT JAMMED THE VALVE OPEN. I SUGGEST ADDING THE FOLLOWING TO THE MEL; 'AFTER AFFECTED ENG START; CHK ENG BLEEDS OPEN; CHK APU BLEED VALVE AND XFEED VALVE CLOSED; OBSERVE DUCT PRESSURE ABOVE ZERO.' CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: MAINT HAD WORKED ON THE STARTER PRIOR TO PUSHBACK AND SIGNED THE RPT OFF IN THE MAINT LOG. WHEN STARTING THE R ENG; THE DUCT PRESSURE DROPPED TO INDICATE THE VALVE HAD OPENED BUT THERE WAS NO ENG ROTATION. ON RETURN TO THE GATE; MAINT OPENED THE COWLING AND REMOVED THE VALVE FINDING METAL DEBRIS HOLDING THE VALVE OPEN. THE AIRPLANE WAS REMOVED FROM SVC.",,,,"A B737-800 MAINT SIGNED OFF #2 ENG START VALVE STUCK OPEN. AFTER PUSHBACK ON #2 ENG START; DUCT PRESSURE REMAINED AT ZERO. FOUND DEBRIS IN START VALVE.",
652909,200503,0001-0600,ZZZ.Airport,US,,0,0,,,,,,Night,,,,Air Carrier,B767-300 and 300 ER,,2,Part 121,,,,Parked,,,,,,,,Repair,,,,,,,,,,,,,,,,,,Elevator,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Lead Technician 12; Maintenance Technician 13,,Troubleshooting,,,652909,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Vehicle,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Environment - Non Weather Related; Aircraft; Chart Or Publication; Human Factors,Human Factors,"ACFT PARKED OUT OF SVC IN REMOTE RAMP DUE TO L-HAND HYD SYS FLUID LOSS. PREVIOUS SHIFT INCORRECTLY IDENTED LEAK AREA. DURING LEAK CHK OF THIS AREA; THE L-HAND ELEVATOR CAME IN CONTACT WITH THE BOOM OF THE LIFT TRUCK. LEAK WAS LOCATED HIGHER UP IN HORIZ STABILIZER LATER IN THE EVENING. LIGHTS WERE VERY DIM IN RAMP. THE CLRNC BTWN LIFT TRUCK BOOM AND ELEVATORS WAS JUDGED TO BE 1 FT PRIOR TO HYD PWR BEING TURNED ON. THIS WAS NOT SUFFICIENT; HOWEVER. AS PWR WAS APPLIED TO THE ELEVATORS; CONTACT WAS MADE BY TRAILING EDGE OF THE L-HAND ELEVATOR. CHAIN OF EVENTS IN MY OPINION WERE THAT WE WERE TOLD WHICH PANEL TO REMOVE. I WAS NOT GIVEN THE OPPORTUNITY TO DO MY OWN TROUBLESHOOTING. IN DAYLIGHT THE HYD STAINS COULD BE SEEN HIGHER UP ON THE STABILIZER.",,,,"A B767-300ER INCURRED DAMAGE TO THE L ELEVATOR WHEN STRUCK BY A LIFT TRUCK OPERATED BY A TECHNICIAN TROUBLESHOOTING A HYD LEAK.",
653478,200504,1801-2400,ZZZ.Airport,US,,0,0,,,,,,Night,,,,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Takeoff / Launch; Parked,,,,,,,,Repair,,,,,,,,,,,,,,,,,,Nose Gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Pilot Flying; Captain,,,,Troubleshooting; Time Pressure,,,653478,Aircraft X,,Air Carrier,First Officer; Pilot Not Flying,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken; General Flight Cancelled / Delayed,Company Policy; Environment - Non Weather Related; Human Factors,Company Policy,"AS WE WERE BEING PUSHED BACK FROM GATE AT ZZZ; THE TUG DRIVER STATED THAT HIS TUG JUST DIED. SUDDENLY; THERE WAS A SUBSTANTIAL JOLT AS THE TOW BAR FORCEFULLY STRUCK THE NOSE GEAR. I ASKED WHAT HAPPENED AND HE SAID THE PIN JUST SHEARED. I THEN ASKED IF HE WOULD LIKE ME TO STOP THE ACFT AS WE WERE STILL ROLLING SLOWLY BACKWARD. HE SAID YES; AND I GENTLY APPLIED THE BRAKES; CAME TO A STOP; AND SET THE PARKING BRAKE. I THEN ASKED HIM IF THERE WAS ANY DAMAGE TO THE ACFT. HE SAID NO; NO DAMAGE; AND ASKED IF HE COULD DISCONNECT. I AGAIN ASKED HIM IF HE WAS SURE THERE WAS NO DAMAGE TO THE ACFT; AND HE STATED SOMETHING ON THE ORDER OF; 'NO SIRE; NO DAMAGE.' I THEN CLRED HIM TO DISCONNECT AND WE PROCEEDED WITH OUR '1 ENG AFTER START' PROC AS WE HAD BEEN STARTING THE #1 ENG DURING THE PUSHBACK. WE THEN CONDUCTED AN UNEVENTFUL FLT TO ZZZ1. DURING HER POSTFLT INSPECTION OF THE ACFT; THE FO NOTICED SUBSTANTIAL DAMAGE TO THE TOW BAR ATTACHMENT POINT. I HAD BEEN ALL BUT TORN FROM THE ACFT AND I WAS SURPRISED IT HADN'T FALLEN OFF DURING TKOF OR LNDG. THE DAMAGE WAS SUCH THAT THE SUBSEQUENT FLT WITH THAT ACFT HAD TO BE CANCELED UNTIL THE BROKEN PIECE COLD BE REPLACED.",,,,"AN A320 WAS DISPATCHED WITH KNOWN DAMAGE TO THE NOSE GEAR TOW BAR ATTACH FITTINGS AND SHEAR BOLTS. VEHICLE DRIVER ASSURED CREW NO DAMAGE WAS PRESENT.",
653583,200504,,ZZZ.Airport,US,,4.5,,6000,,VMC,10,,Daylight,,,TRACON ZZZ.TRACON,Personal,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,1,Part 91,IFR,Personal,,Cruise,,Class E ZZZ.E,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Fuel Selector,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 15; Flight Crew Total 318; Flight Crew Type 318,,Troubleshooting,,,653583,Company,,Contracted Service,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Other / Unknown,,,Automation Aircraft Other Automation; Person Flight Crew,,Air Traffic Control Provided Assistance; Aircraft Aircraft Damaged; General Declared Emergency; General Maintenance Action,Aircraft; Human Factors,Aircraft,"MY PIPER PA28-180 HAD ANNUAL APR/MON/05. PLANE WAS FLOWN FOR TEST FLT APR/FRI/05 BY MYSELF (FUEL TANKS WERE NOT SWITCHED). DEPARTED HOME ARPT (ZZZ1) AT XA00 FOR IFR FLT TO ZZZ2. AFTER 30 MINS INTO FLT; I SWITCHED FUEL TANKS (THIS WAS FIRST TIME AFTER ANNUAL). FUEL SWITCH LEVER WAS VERY LOOSE WITH NO DETENT FOR LOCKING INTO POS. FUEL PRESSURE GAUGE DROPPED TO ZERO. I IMMEDIATELY SWITCHED LEVER BACK TO ORIGINAL POS. FUEL PRESSURE DROPPED TO ZERO. ELECTRIC FUEL PUMP WAS ON; BUT PUMPED ONLY ENOUGH FUEL FOR IDLE SPD (1000 RPM). ATC WAS INFORMED; THEY VECTORED ME TO ZZZ3 4.5 MI AHEAD. A NO PWR LNDG WAS MADE CLIPPING THE TOPS OF SOME TREES AND LNDG SHORT OF RWY BY 30 FT. DAMAGED LIGHT (12 INCH TEAR IN BOTTOM OF PLANE). I FEEL PROB WAS CAUSED BY INCORRECT ASSEMBLY OF FUEL SELECTOR SWITCH; LED TO UNINTENTIONAL SHUTOFF OF FUEL SUPPLY. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: THE AIRPLANE WAS TEST FLOWN 1 DAY AFTER BEING RELEASED FROM THE ANNUAL INSPECTION; BUT THE FUEL SELECTOR VALVE WAS NOT TESTED. THE RPTR; WHEN ASKED IF THE VALVE HAD BEEN REMOVED; ADJUSTED; OR ANY WORK PERFORMED ON THE VALVE ANSWERED 'DIDN'T KNOW IF ANY WORK WAS DONE ON THE VALVE.' DAMAGE TO THE AIRPLANE WAS MINIMAL: SKIN DAMAGE; WHEEL FAIRING TORN OFF; AND ENG MOUNT SUPPORT BENT.",,,,"A PA28-180 AT 6000 FT DECLARED AN EMER DUE TO LOSS OF PWR WHEN SWITCHING FUEL TANKS. CAUSED BY A FAILED FUEL SELECTOR VALVE.",
653835,200503,0601-1200,ZZZ.Airport,US,,,,,,,,,Daylight,,,TRACON ZZZ.TRACON,Air Carrier,B757 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Initial Climb,,,,,,,,Repair,Medium,188,188,,,,,,,,,,,,,,,Fan Blade,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Flight Attendant In Charge; Flight Attendant (On Duty),,Flight Attendant Airline Total 20; Flight Attendant Total 20; Flight Attendant Type 75,Safety Related Duties,Troubleshooting; Time Pressure,,,653835,Aircraft X,,Air Carrier,Flight Attendant (On Duty),,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR,,,Automation Aircraft Other Automation; Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General Declared Emergency,Aircraft; Company Policy; Human Factors,Aircraft,"JUST MINUTES AFTER TKOF; THE AIRPLANE BEGAN TO VIBRATE VIOLENTLY AND WE DIPPED TOWARDS THE R (MY RIGHT); THEN IT SOUNDED LIKE METAL GRINDING AND BEING SPIT OUT OR FALLING OFF THE AIRPLANE. WE THEN SUNK A LITTLE; I FELT AS THOUGH WE WERE GOING DOWN. I WAITED A FEW MINUTES AND THEN MADE A PA TO THE PAX AS I WAS THE #1 FLT ATTENDANT. I TOLD THE PAX TO REMAIN SEATED WITH THEIR SEATBELTS SECURELY FASTENED ABOUT THEM. I THEN CALLED MY FLT ATTENDANTS AND TOLD THEM TO DO THEIR 30 SECOND REVIEW AND BE PREPARED FOR AN EMER LNDG. THE PHONE THEN RANG AND IT WAS THE CAPT NOTIFYING ME THAT WE'VE LOST AN ENG AND HAD 10 MINUTES TO GET THE PLANE ON THE GND. THAT WAS ALL HE SAID AND HUNG UP. HE THEN NOTIFIED THE PAX. WE WERE ABLE TO LAND BACK AT ZZZ1 AND THE CRASH UNIT WAS AWAITING OUR ARR. ONCE WE WERE CLRED OF DANGER BY CRASH UNIT; WE CONTINUED TO TAXI BACK TO THE GATE. SOON AFTER ARR WE (COCKPIT AND CABIN) GATHERED AND WE WERE MADE AWARE OF THE FACT THAT THIS ACFT WAS WRITTEN UP ON MARCH/THURS/2005 FOR VIBRATING ENG AND NOTHING WAS DONE! THERE WERE ALSO 11 BROKEN BLADES FROM A PREVIOUS INCIDENT ON THIS ACFT AND AGAIN NOTHING WAS DONE. THE COPLT IMMEDIATELY WENT TO MAINT AND QUESTIONED THEIR; 'ALL GND CHKS CLR' STATEMENT PRIOR TO OUR TKOF. WE ALSO FOUND OUT THROUGH THE LOGBOOK THAT THIS SAME ACFT HAD MANY WRITE-UPS WITH REGARD TO ITS ABILITY TO OPERATE SAFELY; AND ONCE AGAIN NOTHING WAS DONE! OUR MANAGERS ON DUTY; MRS X AND MRS Y; ASKED IF WE WERE OK AND TOLD US THAT IF WE WANTED TO BE REMOVED FROM THE TRIP (SAFETY) THAT WE WOULD HAVE TO TAKE A PERSONAL OFF; WHICH GOES AGAINST OUR ATTENDANCE RECORD AND WE WOULD NOT BE PAID! SO IT WAS EVIDENT THAT REGARDLESS HOW STRESSED (EXTREMELY STRESSED) WE WERE; WE WERE GOING TO BE PUNISHED IF WE DIDN'T STAY WITH THE TRIP SEQUENCE AND CONTINUE ENRTE TO ZZZ2. WHEN MET BY SUPVRS AT ZZZ3 THE FOLLOWING DAY; WE WERE TOLD OUR EMER WAS NOT CONSIDERED CRITICAL! I GUESS BECAUSE WE DIDN'T DIE! THE CAPT AND COPLT CALLED FOR ACFT RECORDS OF 30 DAYS PRIOR AND 30 DAYS PRIOR TO THAT! FAA SHOULD BE NOTIFIED OF THIS SEVERE NEGLIGENCE BY ACR X. GND PERSONNEL AND TWR ALL SAW OUR PLANE ON FIRE AS WE DISAPPEARED INTO THE CLOUDS. THE PLANES BEHIND US ALSO SAW THE FIRE! THIS WAS TOLD TO US AFTER WE RETURNED TO THE GATE. PAX WERE CRYING UPON ARR. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: THE RPTR STATED WHEN THE VIOLENT SHAKING AND THE LOUD GRINDING NOISE STARTED; THE PAX BECAME UPSET AND BEGAN CRYING AND SCREAMING. WITH CABIN ANNOUNCEMENTS IT WAS ALMOST IMPOSSIBLE TO KEEP SOME BELTED IN THEIR SEATS. A SHORT COMMUNICATION WAS RECEIVED FROM THE CAPT THAT AN ENG FAILED AND THEY WERE RETURNING TO THE FIELD. THE CABIN WAS FILLED WITH MANY SMALL CHILDREN AS SCHOOL WAS OUT FOR THE HOLIDAY. ON THE GND WHEN THE CABIN CREW CALMED DOWN AND THE PAX HAD DEPLANED; THE FLT CREW AND THE CABIN CREW GATHERED AND DISCUSSED THE INCIDENT AND WHAT WAS REVEALED WAS THE L ENG HEAVY VIBRATION HAD BEEN RPTED MANY TIMES. MAINT FOUND 11 BLADES MISSING FROM THE FAN STAGE. THE CABIN ATTENDANT MANAGERS ON DUTY ASKED IF THEY WERE OK AND ADVISED THE CABIN CREW THAT IF THEY WANTED REMOVAL FROM THE FLT IT WOULD BE CHARGED AGAINST THEIR ATTENDANCE RECORD AND WOULD RECEIVE NO PAY.",,,,"A B757-200 IN CLB BEGAN TO VIBRATE VIOLENTLY WITH A LOUD GRINDING NOISE. ON THE GND THE FLT AND CABIN CREW GATHERED AND WERE ADVISED THIS ENG HAD PREVIOUSLY BEEN RPTED SEVERAL TIMES FOR VIBRATION.",
654766,200504,0601-1200,ZZZ.Airport,US,,0,0,,,,,,Daylight,,,,Air Carrier,B737-300,,2,Part 121,,,,Parked,,,,,,,,Repair,,,,,,,,,,,,,,,,,,Fuselage Skin,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Lead Technician,,,,Time Pressure; Troubleshooting,,,654766,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Aircraft; Logbook Entry; Human Factors; Chart Or Publication; Company Policy; Environment - Non Weather Related,Human Factors,"CALLED TO ACFT TO INVESTIGATE DENTS IN FUSELAGE SKIN BELOW AFT CARGO DOOR. LAST SECOND CALL TO GATE. ALL MECHS EXTREMELY BUSY; MANY GATE CALLS IN WORKS. CALLED SUPVR FOR ASSISTANCE. INSTINCT TOLD ME ACFT NEEDED TO BE PULLED FROM SVC. SUPVR POINTED OUT THAT ALL A/Y DENT CALCULATIONS WERE WITHIN SRM LIMITS. I FELT PRESSURED TO KEEP ACFT INS VC. ENVIRONMENT EXTREMELY NOISY; OPS SUPVRS; RAMP AGENTS; RAMP SUPVRS; MAINT SUPVRS ALL CROWDED AROUND WORK AREA. SRM HAS MULTIPLE STEPS WHICH CONNECT TO DIFFERENT PAGES AND TABLES TO DETERMINE STATUS OF DENTS. SINCE THE DAMAGE A/Y CALCULATIONS MET SRM LIMITATIONS; IT SEEMED LOGICAL THAT DAMAGE WAS ACCEPTABLE FOR CONTINUED SVC. DUE TO HIGH DEMAND FOR MY PRESENCE FOR OTHER GATE CALLS; I ELECTED TO DOCUMENT SPECIFIC DAMAGE ON NRC [NON ROUTINE WRITE-UPS] CARDS AND MAKE REF TO THE NRC CARDS IN THE ACFT LOGBOOK TO EXPEDITE ACFT DEP. THIS IS AN APPROVED PROC PER COMPANY MPM. DURING PREPARATION OF NON ROUTINE CARDS AFTER DEP OF ACFT; I DISCOVERED THE LAST FOOTNOTE IN TABLE 1 SRM 53-00-01-1 PROHIBITED DENTS IN ADJACENT STRINGER BAYS. TO PREVENT OCCURRENCE IN THE FUTURE; WORK AREA SHOULD BE CLRED OF UNNECESSARY PERSONNEL. UNLESS MAINT SUPVR IS PREPARED TO MAKE ALL OF THE NECESSARY CALCULATIONS AND APPLY ALL REQUIREMENTS OF SRM REQUIREMENTS ON HIS OWN; SUPVR SHOULD DEFER JUDGEMENT TO THE MECH SIGNING THE LOGBOOK. AS STATED EARLIER; INSTINCT WAS TELLING ME SOMETHING WAS WRONG. I WANTED TO REMOVE ACFT FROM SVC; AT LEAST TEMPORARILY; TO MAKE A PROPER DETERMINATION OF DAMAGE. DUE TO SUPVR INPUT AND PRESSURE TO CONTINUE ACFT IN SVC; I NEGLECTED TO READ LAST FOOTNOTE FOR THE DENT LIMITATIONS IN SRM. SRM IS ALSO TEDIOUS TO INTERP AND REQUIRES EXTREMELY CAREFUL SCRUTINY. I DID NOT INSIST ON TEMPORARILY REMOVING ACFT FROM SVC. CROWDED WORK AREA WITH TOO MUCH CHATTER AND DISTRS; PRESSURE TO CONTINUE IN SVC. STRESS FROM HIGH NOISE.",,,,"A B737-300 WAS DISPATCHED WITH A DENT IN THE AFT FUSELAGE SKIN BELOW THE AFT CARGO DOOR BTWN A STRINGER BAY THAT WAS OUT OF DISPATCH LIMITS.",
